InvoiceNo,StockCode,Description,Category,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
500001,P1006,Notebook Pack,Stationery,3,2025-04-01 22:26:00,263.06,10001.0,India
500002,P1009,Smart Watch,Electronics,2,2025-12-09 21:47:00,3171.37,10001.0,India
500002,P1002,Bluetooth Speaker,Electronics,4,2025-12-09 21:47:00,1415.79,10001.0,India
500003,P1008,Travel Backpack,Lifestyle,1,2025-08-24 13:19:00,1959.78,10001.0,India
500003,P1009,Smart Watch,Electronics,1,2025-08-24 13:19:00,3279.04,10001.0,India
500004,P1011,Desk Lamp,Home,1,2025-11-25 16:25:00,1199.07,10001.0,India
500004,P1006,Notebook Pack,Stationery,5,2025-11-25 16:25:00,272.03,10001.0,India
500004,P1004,Laptop Stand,Accessories,5,2025-11-25 16:25:00,985.93,10001.0,India
500004,P1011,Desk Lamp,Home,4,2025-11-25 16:25:00,1326.59,10001.0,India
500004,P1013,Headphones,Electronics,5,2025-11-25 16:25:00,2062.7,10001.0,India
500005,P1007,Water Bottle,Lifestyle,3,2025-08-12 08:33:00,393.52,10001.0,India
500005,P1011,Desk Lamp,Home,5,2025-08-12 08:33:00,1250.66,10001.0,India
500005,P1010,Phone Cover,Accessories,5,2025-08-12 08:33:00,335.69,10001.0,India
500005,P1013,Headphones,Electronics,3,2025-08-12 08:33:00,2222.93,10001.0,India
500005,P1013,Headphones,Electronics,2,2025-08-12 08:33:00,2249.8,10001.0,India
500006,P1010,Phone Cover,Accessories,2,2025-10-08 21:00:00,344.11,10001.0,India
500006,P1011,Desk Lamp,Home,4,2025-10-08 21:00:00,1283.88,10001.0,India
500006,P1017,Jeans,Fashion,4,2025-10-08 21:00:00,1692.94,10001.0,India
500007,P1017,,Fashion,5,2025-03-28 18:05:00,1546.29,10001.0,India
500007,P1008,Travel Backpack,Lifestyle,3,2025-03-28 18:05:00,1794.42,10001.0,India
500007,P1001,Wireless Mouse,Electronics,1,2025-03-28 18:05:00,758.23,10001.0,India
500008,P1007,Water Bottle,Lifestyle,3,2025-02-07 15:26:00,393.94,10002.0,India
C500008,P1008,Travel Backpack,Lifestyle,-1,2025-02-07 15:26:00,1860.36,10002.0,India
500008,P1004,Laptop Stand,Accessories,2,2025-02-07 15:26:00,895.68,10002.0,India
500008,P1017,Jeans,Fashion,2,2025-02-07 15:26:00,1382.4,10002.0,India
500008,P1004,Laptop Stand,Accessories,2,2025-02-07 15:26:00,879.45,10002.0,India
500009,P1015,Running Shoes,Fashion,3,2025-09-29 16:38:00,2523.62,10002.0,India
500009,P1014,Fitness Band,Electronics,3,2025-09-29 16:38:00,1690.56,10002.0,India
500009,P1016,T-Shirt,Fashion,2,2025-09-29 16:38:00,541.64,10002.0,India
500010,P1016,T-Shirt,Fashion,3,2025-11-23 12:49:00,539.37,10002.0,India
500010,P1010,Phone Cover,Accessories,1,2025-11-23 12:49:00,316.41,10002.0,India
500010,P1018,Sunglasses,Fashion,1,2025-11-23 12:49:00,792.28,10002.0,India
500010,P1005,Keyboard,Electronics,3,2025-11-23 12:49:00,1073.89,10002.0,India
500010,P1011,Desk Lamp,Home,3,2025-11-23 12:49:00,1225.64,10002.0,India
C500011,P1001,Wireless Mouse,Electronics,-3,2025-08-04 14:57:00,740.89,10002.0,India
500011,P1012,Coffee Mug,Home,2,2025-08-04 14:57:00,198.63,10002.0,India
500011,P1014,Fitness Band,Electronics,3,2025-08-04 14:57:00,1793.65,10002.0,India
500011,P1008,Travel Backpack,Lifestyle,2,2025-08-04 14:57:00,1702.81,10002.0,India
500011,P1001,Wireless Mouse,Electronics,2,2025-08-04 14:57:00,734.17,10002.0,India
500012,P1005,Keyboard,Electronics,3,2025-07-27 19:10:00,1146.82,10002.0,India
500012,P1001,Wireless Mouse,Electronics,1,2025-07-27 19:10:00,780.72,10002.0,India
500012,P1015,Running Shoes,Fashion,1,2025-07-27 19:10:00,2160.52,10002.0,India
500012,P1007,Water Bottle,Lifestyle,2,2025-07-27 19:10:00,365.92,10002.0,India
500013,P1009,Smart Watch,Electronics,1,2025-07-14 12:48:00,2832.13,10002.0,India
500013,P1002,Bluetooth Speaker,Electronics,2,2025-07-14 12:48:00,1345.51,10002.0,India
500013,P1002,Bluetooth Speaker,Electronics,1,2025-07-14 12:48:00,1552.1,10002.0,India
500013,P1001,Wireless Mouse,Electronics,3,2025-07-14 12:48:00,706.28,10002.0,India
500014,P1015,Running Shoes,Fashion,3,2025-12-09 09:36:00,2258.31,10002.0,India
500014,P1004,Laptop Stand,Accessories,1,2025-12-09 09:36:00,1037.26,10002.0,India
500015,P1013,Headphones,Electronics,2,2025-01-14 22:19:00,2273.5,10002.0,India
500015,P1008,Travel Backpack,Lifestyle,1,2025-01-14 22:19:00,1875.2,10002.0,India
500015,P1004,Laptop Stand,Accessories,3,2025-01-14 22:19:00,1002.7,10002.0,India
500015,P1014,Fitness Band,Electronics,3,2025-01-14 22:19:00,1664.81,10002.0,India
500015,P1011,Desk Lamp,Home,1,2025-01-14 22:19:00,1320.33,10002.0,India
500016,P1005,Keyboard,Electronics,2,2025-02-24 14:23:00,1065.27,10002.0,India
500016,P1009,Smart Watch,Electronics,3,2025-02-24 14:23:00,3024.66,10002.0,India
500016,P1016,T-Shirt,Fashion,2,2025-02-24 14:23:00,561.72,10002.0,India
500016,P1009,Smart Watch,Electronics,2,2025-02-24 14:23:00,3049.46,10002.0,India
500017,P1015,Running Shoes,Fashion,6,2025-05-23 22:28:00,2937.27,10003.0,United Kingdom
500017,P1001,Wireless Mouse,Electronics,5,2025-05-23 22:28:00,983.34,10003.0,United Kingdom
500018,P1011,Desk Lamp,Home,4,2025-04-19 13:51:00,1607.48,10003.0,United Kingdom
500018,P1009,Smart Watch,Electronics,6,2025-04-19 13:51:00,3110.97,10003.0,United Kingdom
500018,P1003,USB-C Cable,Accessories,3,2025-04-19 13:51:00,358.98,10003.0,United Kingdom
500019,P1015,Running Shoes,Fashion,2,2025-05-04 19:30:00,2639.95,10003.0,United Kingdom
500019,P1008,Travel Backpack,Lifestyle,4,2025-05-04 19:30:00,2255.46,10003.0,United Kingdom
500019,P1018,Sunglasses,Fashion,6,2025-05-04 19:30:00,1001.54,10003.0,United Kingdom
500019,P1018,Sunglasses,Fashion,4,2025-05-04 19:30:00,1003.21,10003.0,United Kingdom
500020,P1007,Water Bottle,Lifestyle,4,2025-06-06 12:14:00,423.94,10003.0,United Kingdom
500021,P1016,T-Shirt,Fashion,4,2025-12-20 10:12:00,719.79,10003.0,United Kingdom
500021,P1017,Jeans,Fashion,6,2025-12-20 10:12:00,1759.04,10003.0,United Kingdom
500022,P1006,Notebook Pack,Stationery,4,2025-04-10 12:14:00,258.53,10003.0,United Kingdom
500022,P1009,Smart Watch,Electronics,2,2025-04-10 12:14:00,3776.0,10003.0,United Kingdom
500022,P1005,Keyboard,Electronics,7,2025-04-10 12:14:00,1480.46,10003.0,United Kingdom
500023,P1016,T-Shirt,Fashion,5,2025-01-07 17:18:00,666.9,10003.0,United Kingdom
500023,P1009,Smart Watch,Electronics,5,2025-01-07 17:18:00,3182.66,10003.0,United Kingdom
500023,P1016,T-Shirt,Fashion,2,2025-01-07 17:18:00,699.46,10003.0,United Kingdom
500023,P1005,Keyboard,Electronics,3,2025-01-07 17:18:00,1464.65,10003.0,United Kingdom
500024,P1014,Fitness Band,Electronics,6,2025-02-13 11:07:00,2108.62,10003.0,United Kingdom
500024,P1017,Jeans,Fashion,5,2025-02-13 11:07:00,1820.65,10003.0,United Kingdom
500024,P1014,Fitness Band,Electronics,4,2025-02-13 11:07:00,2097.25,10003.0,United Kingdom
500024,P1004,Laptop Stand,Accessories,3,2025-02-13 11:07:00,1177.69,10003.0,United Kingdom
500024,P1003,USB-C Cable,Accessories,3,2025-02-13 11:07:00,325.96,10003.0,United Kingdom
500025,P1016,T-Shirt,Fashion,4,2025-03-22 08:26:00,624.46,10003.0,United Kingdom
500025,P1010,Phone Cover,Accessories,7,2025-03-22 08:26:00,430.22,10003.0,United Kingdom
500025,P1008,Travel Backpack,Lifestyle,4,2025-03-22 08:26:00,2309.56,10003.0,United Kingdom
500025,P1007,Water Bottle,Lifestyle,5,2025-03-22 08:26:00,423.5,10003.0,United Kingdom
500026,P1003,USB-C Cable,Accessories,2,2025-03-18 22:17:00,320.88,10003.0,United Kingdom
500026,P1010,Phone Cover,Accessories,5,2025-03-18 22:17:00,371.2,10003.0,United Kingdom
500027,P1018,Sunglasses,Fashion,5,2025-12-25 14:17:00,1020.98,10003.0,United Kingdom
500027,P1014,Fitness Band,Electronics,7,2025-12-25 14:17:00,1995.33,10003.0,United Kingdom
500027,P1003,USB-C Cable,Accessories,3,2025-12-25 14:17:00,375.62,10003.0,United Kingdom
500027,P1001,Wireless Mouse,Electronics,7,2025-12-25 14:17:00,977.92,10003.0,United Kingdom
500027,P1006,Notebook Pack,Stationery,5,2025-12-25 14:17:00,287.44,10003.0,United Kingdom
500028,P1003,USB-C Cable,Accessories,2,2025-04-03 17:27:00,289.91,10004.0,India
500028,P1004,Laptop Stand,Accessories,1,2025-04-03 17:27:00,964.99,10004.0,India
500028,P1010,Phone Cover,Accessories,3,2025-04-03 17:27:00,380.07,10004.0,India
500028,P1018,Sunglasses,Fashion,1,2025-04-03 17:27:00,890.88,10004.0,India
500029,P1017,Jeans,Fashion,1,2025-06-15 09:49:00,1649.42,10004.0,India
500029,P1014,Fitness Band,Electronics,1,2025-06-15 09:49:00,1686.59,10004.0,India
500029,P1016,T-Shirt,Fashion,3,2025-06-15 09:49:00,592.06,10004.0,India
500029,P1009,Smart Watch,Electronics,3,2025-06-15 09:49:00,2777.68,10004.0,India
500030,P1008,Travel Backpack,Lifestyle,3,2025-12-24 15:07:00,1769.25,10004.0,India
500031,P1015,Running Shoes,Fashion,1,2025-02-17 11:53:00,2572.83,10005.0,India
500032,P1014,Fitness Band,Electronics,4,2025-05-30 16:45:00,1971.79,10005.0,India
500032,P1018,Sunglasses,Fashion,2,2025-05-30 16:45:00,878.07,10005.0,India
500032,P1017,Jeans,Fashion,2,2025-05-30 16:45:00,1715.42,10005.0,India
500033,P1009,Smart Watch,Electronics,1,2025-08-01 13:59:00,2868.75,10005.0,India
500033,P1016,T-Shirt,Fashion,2,2025-08-01 13:59:00,592.6,10005.0,India
500033,P1011,Desk Lamp,Home,5,2025-08-01 13:59:00,1367.29,10005.0,India
500033,P1011,Desk Lamp,Home,2,2025-08-01 13:59:00,1423.91,10005.0,India
500033,P1013,Headphones,Electronics,2,2025-08-01 13:59:00,2355.57,10005.0,India
500034,P1013,Headphones,Electronics,2,2025-06-12 19:30:00,2196.95,10005.0,India
500034,P1017,Jeans,Fashion,5,2025-06-12 19:30:00,1545.27,10005.0,India
500034,P1015,Running Shoes,Fashion,1,2025-06-12 19:30:00,2511.97,10005.0,India
500034,P1005,Keyboard,Electronics,4,2025-06-12 19:30:00,1287.95,10005.0,India
500035,P1011,Desk Lamp,Home,5,2025-02-08 15:50:00,1349.06,10005.0,India
500035,P1011,Desk Lamp,Home,5,2025-02-08 15:50:00,1267.83,10005.0,India
500035,P1016,T-Shirt,Fashion,5,2025-02-08 15:50:00,543.4,10005.0,India
500036,P1008,Travel Backpack,Lifestyle,1,2025-11-20 18:58:00,1873.92,10005.0,India
500036,P1004,Laptop Stand,Accessories,4,2025-11-20 18:58:00,932.34,10005.0,India
500036,P1001,Wireless Mouse,Electronics,1,2025-11-20 18:58:00,770.94,10005.0,India
500037,P1008,Travel Backpack,Lifestyle,5,2025-07-03 13:27:00,1865.6,10005.0,India
500037,P1006,Notebook Pack,Stationery,2,2025-07-03 13:27:00,232.82,10005.0,India
500038,P1016,T-Shirt,Fashion,5,2025-07-15 17:43:00,556.25,10005.0,India
C500038,P1009,Smart Watch,Electronics,-4,2025-07-15 17:43:00,2852.24,10005.0,India
500039,P1006,Notebook Pack,Stationery,1,2025-08-27 22:18:00,246.1,10005.0,India
500039,P1010,Phone Cover,Accessories,4,2025-08-27 22:18:00,362.28,10005.0,India
500039,P1010,Phone Cover,Accessories,2,2025-08-27 22:18:00,383.86,10005.0,India
500039,P1004,Laptop Stand,Accessories,2,2025-08-27 22:18:00,975.3,10005.0,India
500039,P1010,Phone Cover,Accessories,3,2025-08-27 22:18:00,315.63,10005.0,India
500040,P1002,Bluetooth Speaker,Electronics,5,2025-07-22 12:00:00,1572.5,10005.0,India
500040,P1010,Phone Cover,Accessories,2,2025-07-22 12:00:00,356.47,10005.0,India
500040,P1007,Water Bottle,Lifestyle,5,2025-07-22 12:00:00,379.1,10005.0,India
500040,P1005,Keyboard,Electronics,1,2025-07-22 12:00:00,1295.74,10005.0,India
500040,P1010,Phone Cover,Accessories,4,2025-07-22 12:00:00,316.43,10005.0,India
500041,P1011,Desk Lamp,Home,4,2025-03-09 09:58:00,1214.73,10005.0,India
500041,P1018,Sunglasses,Fashion,3,2025-03-09 09:58:00,904.55,10005.0,India
500041,P1006,Notebook Pack,Stationery,3,2025-03-09 09:58:00,269.62,10005.0,India
500042,P1004,Laptop Stand,Accessories,2,2025-06-01 19:55:00,1036.91,10006.0,India
500042,P1008,Travel Backpack,Lifestyle,3,2025-06-01 19:55:00,1884.95,10006.0,India
500042,P1018,Sunglasses,Fashion,2,2025-06-01 19:55:00,784.07,10006.0,India
500043,P1012,Coffee Mug,Home,3,2025-05-16 16:07:00,198.47,10006.0,India
500043,P1013,Headphones,Electronics,3,2025-05-16 16:07:00,2273.01,10006.0,India
500043,P1008,,Lifestyle,2,2025-05-16 16:07:00,1632.67,10006.0,India
500043,P1018,Sunglasses,Fashion,2,2025-05-16 16:07:00,924.98,10006.0,India
500044,P1010,Phone Cover,Accessories,3,2025-02-02 18:52:00,325.47,10006.0,India
500044,P1002,Bluetooth Speaker,Electronics,2,2025-02-02 18:52:00,1565.3,10006.0,India
500044,P1008,Travel Backpack,Lifestyle,3,2025-02-02 18:52:00,1672.59,10006.0,India
500044,P1018,Sunglasses,Fashion,2,2025-02-02 18:52:00,868.97,10006.0,India
500045,P1014,Fitness Band,Electronics,2,2025-08-01 18:06:00,1549.33,10006.0,India
500045,P1015,Running Shoes,Fashion,2,2025-08-01 18:06:00,2587.98,10006.0,India
500045,P1004,Laptop Stand,Accessories,3,2025-08-01 18:06:00,923.87,10006.0,India
500045,P1012,Coffee Mug,Home,1,2025-08-01 18:06:00,185.2,10006.0,India
500046,P1003,USB-C Cable,Accessories,3,2025-03-04 21:52:00,267.69,10006.0,India
500046,P1001,Wireless Mouse,Electronics,1,2025-03-04 21:52:00,802.59,10006.0,India
500046,P1005,Keyboard,Electronics,3,2025-03-04 21:52:00,1071.89,10006.0,India
500046,P1018,Sunglasses,Fashion,1,2025-03-04 21:52:00,868.81,10006.0,India
500047,P1001,Wireless Mouse,Electronics,2,2025-04-30 13:49:00,813.46,10006.0,India
